p_ind,p_val
1025926,0.02116768805233634
1027974,0.01754665166884335
1027975,0.015914699718411706
362374,0.01288054466398563
1025927,0.012290465532404439
634758,0.010330348913454473
1044358,0.009919460139671654
1044359,0.009896372705871775
1017734,0.00853567226722029
769926,0.007790651598817779
1025922,0.007701496402856931
894854,0.007077816614649814
638854,0.006561949802395398
886662,0.006474200425239596
501638,0.006433445165403698
370566,0.006258125675068284
1042310,0.006180657945709727
493446,0.005837286671106421
362368,0.0057514692181761225
1032070,0.005637525869608882
