q1,q2,correlation
1,2,-0.15636398383995362
1,3,0.25750428115560164
2,3,0.30172764020003395
1,4,-0.017657368300819418
2,4,0.05110094139489224
3,4,0.011015696815389858
1,5,0.0235857968628834
2,5,0.027358661757231097
3,5,0.06297665844289395
4,5,0.4397337165908123
1,6,-0.09992936681401521
2,6,0.040494785379841684
3,6,0.026221823922534963
4,6,0.06327967143356554
5,6,0.05604030300126721
1,7,0.25015491493031905
2,7,-0.12471407865872691
3,7,0.22581290684716476
4,7,0.15543520522502946
5,7,0.1156881744395327
6,7,0.13761812379281238
1,8,0.15644675181811848
2,8,-0.2780178504204327
3,8,0.11938233745513946
4,8,-0.053367939858311404
5,8,0.020034375124629356
6,8,0.0211262430609343
7,8,0.16896610161215772
1,9,0.1964437454363249
2,9,-0.33620864719978205
3,9,0.1136909019604594
4,9,0.03653958034047936
5,9,0.015146076938632258
6,9,0.015061206445083922
7,9,0.3249311818887459
8,9,0.40116697326824713
1,10,0.17093274090107263
2,10,-0.07580720461811483
3,10,0.03250589834138307
4,10,0.11272919786216451
5,10,0.11560363240603516
6,10,-0.3108175473811166
7,10,0.11706147409237695
8,10,0.12770493749528306
9,10,0.27111746217778365
1,11,0.07034211237126085
2,11,-0.029520864838176966
3,11,0.027642906402785827
4,11,0.27169584630400845
5,11,0.12994423486704212
6,11,0.012661427610843892
7,11,0.20539613217595443
8,11,0.10333565078725214
9,11,0.19134164269795198
10,11,0.12180650378692803
1,12,0.019793234662202466
2,12,0.08972320276127035
3,12,0.15623776313266768
4,12,0.12065442101655917
5,12,0.10992086169150381
6,12,-0.13741672368991223
7,12,0.021538585163003762
8,12,0.09795323908521388
9,12,0.09275402346729415
10,12,0.1332340329253542
11,12,0.3324817000693283
1,13,0.17454617744106893
2,13,-0.026340852302638232
3,13,0.1447422077933463
4,13,0.14431850913240374
5,13,0.14408758366711574
6,13,-0.12836045585490932
7,13,0.19153863766536053
8,13,0.10897116199725451
9,13,0.1699721818291337
10,13,0.18280292239086282
11,13,0.3219978892761575
12,13,0.5840980237399628
1,14,-0.028750969583867112
2,14,-0.04306793212584271
3,14,-0.0392187000490098
4,14,0.04525530049747903
5,14,0.03866088488340855
6,14,-0.016210998402001967
7,14,0.07066687062262818
8,14,0.014736377567738148
9,14,0.07146334375820793
10,14,0.0013219533230332653
11,14,0.03301771956013985
12,14,-0.025057121928205455
13,14,0.03755093284865107
1,15,0.18682512752228703
2,15,-0.15998770257974393
3,15,0.09001259831225523
4,15,-0.033582080095149174
5,15,0.016086212657772173
6,15,-0.013439858721695341
7,15,0.10610141754475495
8,15,0.3723892676215506
9,15,0.27158562169878125
10,15,0.09300202714385318
11,15,0.04432958099340264
12,15,0.026895194486140396
13,15,0.11656016488207634
14,15,0.02411072529841206
1,16,0.16225402886289494
2,16,-0.1497662676097178
3,16,0.08408219478721907
4,16,-0.010388833309303082
5,16,0.045079443278817716
6,16,0.010357020636895803
7,16,0.06812249778606688
8,16,0.2700960886492166
9,16,0.2175057048315572
10,16,0.057524449515232765
11,16,0.038499388221349025
12,16,0.0831339560716965
13,16,0.09009698915001639
14,16,0.05142472195841414
15,16,0.6074189607279921
1,17,0.038533024488201624
2,17,0.06436959529792768
3,17,0.05785074167548543
4,17,-0.03144133678794367
5,17,0.0450794432788177
6,17,0.05563942821601794
7,17,0.04858605701327512
8,17,0.10858663985507175
9,17,0.07979683616753955
10,17,-0.008637304732017077
11,17,0.0384993882213491
12,17,0.010105733192201743
13,17,0.026722982089490713
14,17,0.0948072517162836
15,17,0.19812715573358491
16,17,0.17799399055658874
1,18,0.05119308126688641
2,18,0.11674302583728366
3,18,0.11885500169663228
4,18,-0.009203412139486989
5,18,0.004951594374957014
6,18,0.02904517698514124
7,18,0.06927915188038078
8,18,0.10456804960898052
9,18,0.09785939667718821
10,18,0.052082967753109666
11,18,0.09177706532177411
12,18,0.20400210446340783
13,18,0.15937183735446375
14,18,0.0023000485005700367
15,18,0.05019499880083312
16,18,0.06575377765260686
17,18,0.05599265484603772
1,19,0.1723179383898293
2,19,0.06823944217092257
3,19,0.17615384045635557
4,19,0.020379407532443584
5,19,0.026372109584538974
6,19,-0.05083402715645194
7,19,0.08265340885749432
8,19,0.09439502381699547
9,19,0.16314755883891072
10,19,0.19448502790095543
11,19,0.11590289431147485
12,19,0.23694080327682962
13,19,0.13624941750701447
14,19,0.04796460997814812
15,19,0.12087872249482316
16,19,0.10082921926416658
17,19,0.0086631310107637
18,19,0.4777669701478833
1,20,0.19605938331862266
2,20,-0.011796614289939744
3,20,0.20771459693557728
4,20,0.003567561818764479
5,20,-0.0014246007470761766
6,20,-0.0033957737421230583
7,20,0.1901340257592085
8,20,0.06933363294065538
9,20,0.2231242310641252
10,20,0.09658888571141509
11,20,-0.018022491915859144
12,20,0.0592250258414181
13,20,0.16267475570907194
14,20,-0.06954456828426582
15,20,0.04755454207732206
16,20,0.13825659007819902
17,20,0.046272327194672155
18,20,0.12687305823020154
19,20,0.046137364808232426
